resolution	cluster	n_cells	entropy	top_lineage	margin	top_unbiased_genes	astro_glial	radial_glia	opc	oligo_mature	neuronal	myeloid	t_cell	endothelial	proliferation
res0.4	8	118042	0.243834517028122	radial_glia	0.102028497785868	CXCL14, PAX6, FGFR3, DNER, RGS16	-0.00591396499120211	0.171820326028853	-0.0541273074869684	0.00292173961432054	0.0697918282429844	-0.0275383456821147	-0.00466803554148201	-0.0177512161305019	0.00814429359788491
res0.4	14	28323	0.78586446280195	oligo_mature	0.115587282304309	ERMN, MOG, CNDP1, UGT8, CLDN11	-0.0357933674251955	-0.0698032846874072	-0.00930557817044132	0.106281704133868	-0.0260702595379954	-0.0213906085521788	-0.0126004834062181	-0.0215587215217004	-0.0158311979682042
res0.4	6	156694	0.389650800078054	radial_glia	0.116600694691619	PAX6, FGFR3, SOX4, LAMP5, MEIS2	-0.0176340225533031	0.135202995910666	-0.0400758685124517	-0.00328243260498583	0.00912948985819406	-0.0304248847263421	-0.00958447225917931	-0.0164795307305176	0.0186023012190469
res0.4	7	153239	0.954059264410041	myeloid	0.131347050167554	AIF1, GPR34, APOE, RNASET2, FCER1G	0.0343167670715522	-0.12762925030521	-0.020766528327972	-0.0104185513551458	-0.0400005559915361	0.182278235033901	0.0307758946771955	0.0509311848663472	-0.0134364599783262
res0.4	13	29440	0.698808368705535	proliferation	0.143154116012185	TOP2A, MKI67, SOX4, CENPF, COL25A1	-0.0645026797028455	-0.00921711742842674	-0.0407390365563518	-0.00400231147333918	-0.00727120938840107	-0.0200205869292767	-0.00429850702544149	-0.0149468534081285	0.139151804538846
res0.4	10	112607	0.896562161218309	endothelial	0.201789891511735	IFITM3, DCN, FLT1, IGFBP4, PECAM1	-0.00145650168113681	-0.135182836624112	-0.036512811171931	-0.00425876559393811	-0.0451657370435293	0.00102272857201338	0.0025685503812878	0.204358441893022	-0.0171270087420738
res0.4	2	188720	0.77966786344115	astro_glial	0.238395449915707	AQP4, APOE, GJA1, PTPRZ1, TTYH1	0.322655133058345	0.0204526881918976	0.0842596831426375	-0.00659796441560898	-0.0140605120555921	-0.00105391121606645	-0.0166529003065037	-0.0284580593374171	-0.00999147746181123
res0.4	4	182237	0.900249832349629	opc	0.238855676144793	PTPRZ1, OLIG1, SEMA5A, OLIG2, VCAN	0.0426731825400659	-0.0352392875093333	0.281528858684859	0.00969684519590078	0.0291256990466572	0.0107995174189817	-0.0146201797109947	-0.0270774550381893	-0.00151829871258209
res0.4	18	203	0.0819919731370806	opc	0.267318459102355	PTPRZ1, SOX10, SEMA5A, OLIG1, GPNMB	0.0527086768731124	-0.0829982411165951	0.335056707259551	0.0580150223484122	0.0221396855408411	0.067738248157196	0.00464030063743677	-0.00536400315534141	0.0104133858717305
res0.5	9	113879	0.559868771734984	t_cell	0.000370267165684344	FGFR3, COL25A1, RGS16, FGFR2, NTNG2	-0.0563197188243382	-0.0177166957700601	-0.0367014503751098	0.00861924670318007	-0.00657847372010353	-0.010064608943174	0.00898951386886442	0.00523761733502953	0.00631528462845682
res0.5	3	174537	0.550645949916848	oligo_mature	0.0005406050960922	APP, RELN, SOX4, DNER, SOX9	-0.0941139659993065	-0.0192988221837587	-0.0653761740415586	-0.0118109986538804	-0.0123516037499726	-0.0354358906884751	-0.013555796823505	-0.0350836758099542	-0.015539948379974
res0.5	16	20107	0.301629233738601	oligo_mature	0.00100114013725526	IGFBP5, RELN, GNLY, NPFFR2, CTNNA3	-0.0948934601712504	-0.058520953038851	-0.065500225735214	-0.0130847489600033	-0.0333084944508929	-0.0361875439509222	-0.0140858890972586	-0.0356285562060868	-0.0268051504149686
res0.5	17	19075	0.209640236250271	t_cell	0.00186601817046831	NR4A2, FGFR3, RGS16, COL25A1, B4GALNT1	-0.0734188652335866	-0.0311001776900015	-0.0569377484481274	-0.00561083499795403	-0.0248818013943748	-0.024881994165873	-0.00374481682748572	-0.0196861174783746	-0.014500840855945
res0.5	20	113	0.709836019400687	oligo_mature	0.00483589934473914	PTCHD4, IDO1, GNLY, TRPC5, CTNNA3	-0.100415211734965	-0.150184866939836	-0.070600187012342	-0.0190235041833806	-0.0510778723676219	-0.0398229182470687	-0.0238594035281197	-0.0415074821354443	-0.0358020845687195
res0.5	18	350	0.808185599276458	oligo_mature	0.00525348093885504	DDR2, GNLY, TRPC5, CTNNA3, ADAMTS12	-0.0815527202518557	-0.116327233378081	-0.0641728094609327	-0.0190260066438913	-0.0479392172124545	-0.038413480003992	-0.0242794875827463	-0.0385202650665539	-0.0321974076656255
res0.5	22	88	0.290942223354079	oligo_mature	0.00601967238224623	APP, COL25A1, TRPC5, GNLY, CTNNA3	-0.107506431576297	-0.15853065289917	-0.072941999310417	-0.0190232402491347	-0.0543515420991417	-0.0414545546030515	-0.0250429126313809	-0.0415069062559485	-0.0370992393101347
